filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_numjobs=18_randwrite.json,numjobs,randwrite,4k,18,0.0,279.19,0.0,1090.59,0.0,0.0,4068.14,33423.36,5.44,14.77,20.21
test_numjobs=19_randread.json,numjobs,randread,4k,19,269.95,0.0,1054.47,0.0,4438.88,40632.32,0.0,0.0,4.78,14.5,19.27
test_numjobs=19_randwrite.json,numjobs,randwrite,4k,19,0.0,266.42,0.0,1040.72,0.0,0.0,4499.25,41156.61,5.07,13.77,18.84
test_numjobs=20_randread.json,numjobs,randread,4k,20,257.56,0.0,1006.11,0.0,4899.25,41156.61,0.0,0.0,3.96,13.47,17.44
test_numjobs=20_randwrite.json,numjobs,randwrite,4k,20,0.0,262.77,0.0,1026.45,0.0,0.0,4802.03,41156.61,4.49,12.82,17.31
test_numjobs=21_randread.json,numjobs,randread,4k,21,251.43,0.0,982.16,0.0,5268.22,44826.62,0.0,0.0,3.93,12.68,16.6
test_numjobs=21_randwrite.json,numjobs,randwrite,4k,21,0.0,282.45,0.0,1103.33,0.0,0.0,4688.86,41680.9,4.29,12.86,17.16
test_numjobs=22_randread.json,numjobs,randread,4k,22,268.83,0.0,1050.13,0.0,5162.55,44826.62,0.0,0.0,3.99,12.51,16.5
test_numjobs=22_randwrite.json,numjobs,randwrite,4k,22,0.0,259.42,0.0,1013.37,0.0,0.0,5350.18,43253.76,4.12,11.61,15.73
test_numjobs=23_randread.json,numjobs,randread,4k,23,253.56,0.0,990.48,0.0,5722.73,44826.62,0.0,0.0,3.4,11.75,15.15
test_numjobs=23_randwrite.json,numjobs,randwrite,4k,23,0.0,265.83,0.0,1038.38,0.0,0.0,5458.62,44826.62,3.83,11.28,15.11
test_numjobs=24_randread.json,numjobs,randread,4k,24,260.57,0.0,1017.85,0.0,5809.57,44826.62,0.0,0.0,3.61,11.29,14.9
test_numjobs=24_randwrite.json,numjobs,randwrite,4k,24,0.0,260.03,0.0,1015.75,0.0,0.0,5822.03,41156.61,3.82,10.77,14.59
test_numjobs=25_randread.json,numjobs,randread,4k,25,255.37,0.0,997.56,0.0,6176.11,46399.49,0.0,0.0,3.18,10.87,14.05
test_numjobs=25_randwrite.json,numjobs,randwrite,4k,25,0.0,273.75,0.0,1069.32,0.0,0.0,5760.29,47448.06,3.66,10.62,14.28
test_numjobs=26_randread.json,numjobs,randread,4k,26,248.9,0.0,972.27,0.0,6585.05,49020.93,0.0,0.0,3.13,10.32,13.45
test_numjobs=26_randwrite.json,numjobs,randwrite,4k,26,0.0,263.27,0.0,1028.4,0.0,0.0,6228.62,49020.93,3.59,9.89,13.48
test_numjobs=27_randread.json,numjobs,randread,4k,27,250.88,0.0,979.99,0.0,6789.29,50593.79,0.0,0.0,3.15,9.93,13.08
test_numjobs=27_randwrite.json,numjobs,randwrite,4k,27,0.0,262.42,0.0,1025.08,0.0,0.0,6490.54,52690.94,3.36,9.5,12.87
test_numjobs=28_randread.json,numjobs,randread,4k,28,245.54,0.0,959.13,0.0,7186.67,52690.94,0.0,0.0,3.04,9.46,12.5
test_numjobs=28_randwrite.json,numjobs,randwrite,4k,28,0.0,255.32,0.0,997.35,0.0,0.0,6917.17,36962.3,3.15,9.21,12.36
test_numjobs=29_randread.json,numjobs,randread,4k,29,267.8,0.0,1046.08,0.0,6830.33,52690.94,0.0,0.0,3.07,9.5,12.57
test_numjobs=29_randwrite.json,numjobs,randwrite,4k,29,0.0,260.37,0.0,1017.08,0.0,0.0,7023.46,51642.37,3.1,8.96,12.06
test_numjobs=30_randread.json,numjobs,randread,4k,30,241.15,0.0,942.0,0.0,7847.29,38010.88,0.0,0.0,2.78,8.69,11.48
test_numjobs=30_randwrite.json,numjobs,randwrite,4k,30,0.0,262.56,0.0,1025.62,0.0,0.0,7207.07,54263.81,2.99,8.7,11.69
test_numjobs=31_randread.json,numjobs,randread,4k,31,254.63,0.0,994.64,0.0,7677.67,41156.61,0.0,0.0,2.56,8.67,11.23
test_numjobs=31_randwrite.json,numjobs,randwrite,4k,31,0.0,269.86,0.0,1054.15,0.0,0.0,7247.85,57409.54,2.89,8.57,11.46
test_numjobs=32_randread.json,numjobs,randread,4k,32,254.61,0.0,994.55,0.0,7927.56,40632.32,0.0,0.0,2.45,8.44,10.89
test_numjobs=32_randwrite.json,numjobs,randwrite,4k,32,0.0,255.43,0.0,997.79,0.0,0.0,7900.21,61079.55,2.72,8.11,10.83
test_numjobs=33_randread.json,numjobs,randread,4k,33,247.38,0.0,966.34,0.0,8416.48,64749.57,0.0,0.0,2.57,8.07,10.64
test_numjobs=33_randwrite.json,numjobs,randwrite,4k,33,0.0,257.0,0.0,1003.91,0.0,0.0,8098.01,61079.55,2.75,7.84,10.59
