filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_nbcpu-bw=1_read.json,nbcpu-bw,read,64k,1,47.83,0.0,2989.52,0.0,10543.85,29491.2,0.0,0.0,1.76,10.72,12.49
test_nbcpu-bw=1_write.json,nbcpu-bw,write,64k,1,0.0,31.99,0.0,1999.18,0.0,0.0,15763.58,33816.58,4.06,8.4,12.45
test_nbcpu=1_randread.json,nbcpu,randread,64k,1,73.78,0.0,288.21,0.0,6841.86,28966.91,0.0,0.0,2.97,9.52,12.49
test_nbcpu=1_randwrite.json,nbcpu,randwrite,64k,1,0.0,77.24,0.0,301.72,0.0,0.0,6535.81,28966.91,3.26,9.23,12.49
test_nbcpu-bw=2_read.json,nbcpu-bw,read,64k,2,88.34,0.0,5521.29,0.0,5709.25,33816.58,0.0,0.0,3.58,21.33,24.92
test_nbcpu-bw=2_write.json,nbcpu-bw,write,64k,2,0.0,56.72,0.0,3545.1,0.0,0.0,8886.5,34340.86,10.73,14.12,24.85
test_nbcpu=2_randread.json,nbcpu,randread,64k,2,116.64,0.0,455.62,0.0,4327.36,41156.61,0.0,0.0,4.1,15.99,20.09
test_nbcpu=2_randwrite.json,nbcpu,randwrite,64k,2,0.0,119.42,0.0,466.49,0.0,0.0,4225.48,41156.61,4.73,15.41,20.14
test_nbcpu-bw=3_read.json,nbcpu-bw,read,64k,3,117.31,0.0,7331.75,0.0,4301.85,26083.33,0.0,0.0,4.63,28.51,33.14
test_nbcpu-bw=3_write.json,nbcpu-bw,write,64k,3,0.0,73.37,0.0,4585.66,0.0,0.0,6871.41,34340.86,15.55,19.29,34.84
test_nbcpu=3_randread.json,nbcpu,randread,64k,3,187.99,0.0,734.33,0.0,2685.53,25034.75,0.0,0.0,7.6,24.93,32.53
test_nbcpu=3_randwrite.json,nbcpu,randwrite,64k,3,0.0,195.92,0.0,765.3,0.0,0.0,2576.69,25034.75,8.08,24.43,32.51
test_nbcpu-bw=4_read.json,nbcpu-bw,read,64k,4,123.83,0.0,7739.08,0.0,4074.47,25821.18,0.0,0.0,4.39,32.98,37.37
test_nbcpu-bw=4_write.json,nbcpu-bw,write,64k,4,0.0,81.39,0.0,5087.06,0.0,0.0,6196.62,27656.19,17.03,24.28,41.31
test_nbcpu=4_randread.json,nbcpu,randread,64k,4,216.93,0.0,847.37,0.0,2328.0,21626.88,0.0,0.0,8.57,29.12,37.68
test_nbcpu=4_randwrite.json,nbcpu,randwrite,64k,4,0.0,231.5,0.0,904.29,0.0,0.0,2180.69,24772.61,9.15,28.65,37.8
test_nbcpu-bw=5_read.json,nbcpu-bw,read,64k,5,127.57,0.0,7972.95,0.0,3953.61,22413.31,0.0,0.0,4.84,36.34,41.18
test_nbcpu-bw=5_write.json,nbcpu-bw,write,64k,5,0.0,83.28,0.0,5205.24,0.0,0.0,6054.58,26607.62,17.58,25.04,42.63
test_nbcpu=5_randread.json,nbcpu,randread,64k,5,224.08,0.0,875.3,0.0,2253.92,25034.75,0.0,0.0,8.58,29.3,37.88
test_nbcpu=5_randwrite.json,nbcpu,randwrite,64k,5,0.0,223.95,0.0,874.8,0.0,0.0,2253.65,24772.61,9.27,27.85,37.12
test_nbcpu-bw=6_read.json,nbcpu-bw,read,64k,6,127.0,0.0,7937.44,0.0,3972.02,21626.88,0.0,0.0,4.74,36.3,41.03
test_nbcpu-bw=6_write.json,nbcpu-bw,write,64k,6,0.0,84.49,0.0,5280.6,0.0,0.0,5969.1,26083.33,18.29,25.62,43.9
test_nbcpu=6_randread.json,nbcpu,randread,64k,6,234.22,0.0,914.93,0.0,2156.17,24772.61,0.0,0.0,8.96,30.69,39.65
test_nbcpu=6_randwrite.json,nbcpu,randwrite,64k,6,0.0,245.98,0.0,960.86,0.0,0.0,2052.11,16908.29,9.62,30.5,40.12
test_nbcpu-bw=7_read.json,nbcpu-bw,read,64k,7,128.95,0.0,8059.22,0.0,3912.99,25559.04,0.0,0.0,5.31,36.36,41.67
test_nbcpu-bw=7_write.json,nbcpu-bw,write,64k,7,0.0,85.05,0.0,5315.36,0.0,0.0,5929.36,27131.9,18.29,25.9,44.19
test_nbcpu=7_randread.json,nbcpu,randread,64k,7,235.39,0.0,919.49,0.0,2145.18,16908.29,0.0,0.0,9.15,32.21,41.36
test_nbcpu=7_randwrite.json,nbcpu,randwrite,64k,7,0.0,247.56,0.0,967.05,0.0,0.0,2039.31,20840.45,9.89,31.06,40.95
test_nbcpu-bw=8_read.json,nbcpu-bw,read,64k,8,128.26,0.0,8015.99,0.0,3933.61,25559.04,0.0,0.0,5.11,36.84,41.95
test_nbcpu-bw=8_write.json,nbcpu-bw,write,64k,8,0.0,86.23,0.0,5389.6,0.0,0.0,5847.53,26607.62,18.56,26.37,44.92
test_nbcpu=8_randread.json,nbcpu,randread,64k,8,238.13,0.0,930.18,0.0,2120.76,20840.45,0.0,0.0,9.21,32.12,41.34
test_nbcpu=8_randwrite.json,nbcpu,randwrite,64k,8,0.0,249.97,0.0,976.44,0.0,0.0,2019.47,20840.45,9.4,31.24,40.64
