100, 125280, 0, 0
200, 141391, 0, 0
300, 124067, 0, 0
400, 139986, 0, 0
500, 136304, 0, 0
600, 121653, 0, 0
700, 138587, 0, 0
800, 144024, 0, 0
900, 135519, 0, 0
1000, 132234, 0, 0
1100, 114640, 0, 0
1200, 108459, 0, 0
1300, 147008, 0, 0
1400, 122468, 0, 0
1500, 155638, 0, 0
1600, 130150, 0, 0
1700, 131944, 0, 0
1800, 162067, 0, 0
1900, 131902, 0, 0
2000, 147354, 0, 0
2100, 151199, 0, 0
2200, 160545, 0, 0
2300, 112987, 0, 0
2400, 116442, 0, 0
2500, 138734, 0, 0
2600, 133936, 0, 0
2700, 126738, 0, 0
2800, 131226, 0, 0
2900, 141044, 0, 0
3000, 147779, 0, 0
3100, 131906, 0, 0
3200, 129044, 0, 0
3300, 121923, 0, 0
3400, 142979, 0, 0
3500, 139453, 0, 0
3600, 120672, 0, 0
3700, 122237, 0, 0
3800, 139119, 0, 0
3900, 121927, 0, 0
4000, 113693, 0, 0
4100, 149429, 0, 0
4200, 126281, 0, 0
4300, 115097, 0, 0
4400, 149133, 0, 0
4500, 166547, 0, 0
4600, 127129, 0, 0
4700, 161633, 0, 0
4800, 117371, 0, 0
4900, 128788, 0, 0
5000, 141488, 0, 0
5100, 109612, 0, 0
5200, 120576, 0, 0
5300, 138216, 0, 0
5400, 114273, 0, 0
5500, 157811, 0, 0
5600, 135243, 0, 0
5700, 119574, 0, 0
5800, 112169, 0, 0
5900, 106023, 0, 0
6000, 116976, 0, 0
6100, 142748, 0, 0
6200, 114851, 0, 0
6300, 116434, 0, 0
6400, 136044, 0, 0
6500, 120925, 0, 0
6600, 126480, 0, 0
6700, 113869, 0, 0
6800, 149566, 0, 0
6900, 126841, 0, 0
7000, 135663, 0, 0
7100, 133697, 0, 0
7200, 120248, 0, 0
7300, 161945, 0, 0
7400, 112505, 0, 0
7500, 153617, 0, 0
7600, 132601, 0, 0
7700, 128421, 0, 0
7800, 145062, 0, 0
7900, 147644, 0, 0
8000, 118831, 0, 0
8100, 148282, 0, 0
8200, 146761, 0, 0
8300, 146020, 0, 0
8400, 151172, 0, 0
8500, 157794, 0, 0
8600, 141495, 0, 0
8700, 131737, 0, 0
8800, 111864, 0, 0
8900, 124116, 0, 0
9000, 123343, 0, 0
9100, 127774, 0, 0
9200, 106053, 0, 0
9300, 146528, 0, 0
9400, 161174, 0, 0
9500, 160215, 0, 0
9600, 102852, 0, 0
9700, 119179, 0, 0
9800, 145844, 0, 0
9900, 132468, 0, 0
10000, 156468, 0, 0
10000, 196745, 0, 0
