filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_nbcpu-bw=6_write.json,nbcpu-bw,write,64k,6,0.0,55.14,0.0,3446.53,0.0,0.0,5712.2,6651.9,7.67,45.46,53.13
test_nbcpu-bw=7_read.json,nbcpu-bw,read,64k,7,67.71,0.0,4232.17,0.0,5581.59,6520.83,0.0,0.0,3.05,46.4,49.45
test_nbcpu-bw=7_write.json,nbcpu-bw,write,64k,7,0.0,55.61,0.0,3475.72,0.0,0.0,6796.56,8028.16,6.63,40.29,46.92
test_nbcpu-bw=8_read.json,nbcpu-bw,read,64k,8,67.19,0.0,4199.47,0.0,6562.35,7700.48,0.0,0.0,2.55,42.32,44.87
test_nbcpu-bw=8_write.json,nbcpu-bw,write,64k,8,0.0,58.48,0.0,3655.29,0.0,0.0,7538.73,8978.43,5.78,43.45,49.23
test_nbcpu-bw=9_read.json,nbcpu-bw,read,64k,9,68.34,0.0,4271.05,0.0,7374.0,8585.22,0.0,0.0,2.5,39.58,42.08
test_nbcpu-bw=9_write.json,nbcpu-bw,write,64k,9,0.0,58.86,0.0,3678.73,0.0,0.0,8560.57,10551.3,5.35,35.47,40.82
test_nbcpu-bw=10_read.json,nbcpu-bw,read,64k,10,68.04,0.0,4252.68,0.0,8330.96,10027.01,0.0,0.0,2.2,36.08,38.28
test_nbcpu-bw=10_write.json,nbcpu-bw,write,64k,10,0.0,56.56,0.0,3535.12,0.0,0.0,10020.83,12124.16,4.69,30.5,35.19
test_nbcpu-bw=11_read.json,nbcpu-bw,read,64k,11,126.09,0.0,7880.73,0.0,4995.33,9895.94,0.0,0.0,2.31,37.6,39.91
test_nbcpu-bw=11_write.json,nbcpu-bw,write,64k,11,0.0,103.13,0.0,6445.52,0.0,0.0,6107.33,11993.09,5.69,30.82,36.51
test_nbcpu-bw=12_read.json,nbcpu-bw,read,64k,12,126.38,0.0,7898.59,0.0,5482.55,9502.72,0.0,0.0,2.43,36.99,39.42
test_nbcpu-bw=12_write.json,nbcpu-bw,write,64k,12,0.0,104.34,0.0,6520.95,0.0,0.0,6640.55,11599.87,5.69,31.86,37.54
test_nbcpu-bw=13_read.json,nbcpu-bw,read,64k,13,126.51,0.0,7906.84,0.0,5974.91,9502.72,0.0,0.0,2.67,39.1,41.77
test_nbcpu-bw=13_write.json,nbcpu-bw,write,64k,13,0.0,105.42,0.0,6588.67,0.0,0.0,7169.95,11468.8,5.88,34.49,40.37
test_nbcpu-bw=14_read.json,nbcpu-bw,read,64k,14,127.65,0.0,7977.85,0.0,6415.07,9371.65,0.0,0.0,2.74,40.48,43.22
test_nbcpu-bw=14_write.json,nbcpu-bw,write,64k,14,0.0,106.09,0.0,6630.63,0.0,0.0,7718.27,11337.73,5.84,36.25,42.09
test_nbcpu-bw=15_read.json,nbcpu-bw,read,64k,15,128.54,0.0,8033.72,0.0,6860.31,9240.58,0.0,0.0,2.76,40.24,43.0
test_nbcpu-bw=15_write.json,nbcpu-bw,write,64k,15,0.0,109.32,0.0,6832.72,0.0,0.0,8065.7,11075.58,5.78,36.68,42.46
test_nbcpu-bw=16_read.json,nbcpu-bw,read,64k,16,127.37,0.0,7960.49,0.0,7417.84,9502.72,0.0,0.0,2.51,38.64,41.16
test_nbcpu-bw=16_write.json,nbcpu-bw,write,64k,16,0.0,109.82,0.0,6863.99,0.0,0.0,8601.65,11206.66,5.17,40.39,45.56
