100, 67599, 0, 0
200, 70321, 0, 0
300, 68231, 0, 0
400, 68013, 0, 0
500, 68461, 0, 0
600, 68216, 0, 0
700, 67950, 0, 0
800, 68303, 0, 0
900, 68140, 0, 0
1000, 68393, 0, 0
1100, 67921, 0, 0
1200, 68053, 0, 0
1300, 68335, 0, 0
1400, 68129, 0, 0
1500, 68113, 0, 0
1600, 68299, 0, 0
1700, 67671, 0, 0
1800, 68108, 0, 0
1900, 68274, 0, 0
2000, 67892, 0, 0
2100, 70641, 0, 0
2200, 67851, 0, 0
2300, 67741, 0, 0
2400, 68643, 0, 0
2500, 68327, 0, 0
2600, 68134, 0, 0
2700, 68260, 0, 0
2800, 68008, 0, 0
2900, 67805, 0, 0
3000, 67793, 0, 0
3100, 68040, 0, 0
3200, 68274, 0, 0
3300, 67923, 0, 0
3400, 68154, 0, 0
3500, 67728, 0, 0
3600, 68060, 0, 0
3700, 67980, 0, 0
3800, 68087, 0, 0
3900, 70929, 0, 0
4000, 67926, 0, 0
4100, 68083, 0, 0
4200, 68159, 0, 0
4300, 68078, 0, 0
4400, 67974, 0, 0
4500, 67919, 0, 0
4600, 68123, 0, 0
4700, 68228, 0, 0
4800, 67890, 0, 0
4900, 68262, 0, 0
5000, 68431, 0, 0
5100, 68243, 0, 0
5200, 68186, 0, 0
5300, 68082, 0, 0
5400, 68331, 0, 0
5500, 68488, 0, 0
5600, 68089, 0, 0
5700, 67981, 0, 0
5800, 70800, 0, 0
5900, 67999, 0, 0
6000, 68111, 0, 0
6100, 67835, 0, 0
6200, 67796, 0, 0
6300, 68410, 0, 0
6400, 68402, 0, 0
6500, 68103, 0, 0
6600, 68358, 0, 0
6700, 67981, 0, 0
6800, 68192, 0, 0
6900, 68300, 0, 0
7000, 67812, 0, 0
7100, 68218, 0, 0
7200, 67944, 0, 0
7300, 68002, 0, 0
7400, 67805, 0, 0
7500, 68134, 0, 0
7600, 70747, 0, 0
7700, 67938, 0, 0
7800, 68082, 0, 0
7900, 67942, 0, 0
8000, 67761, 0, 0
8100, 68235, 0, 0
8200, 68499, 0, 0
8300, 68080, 0, 0
8400, 68319, 0, 0
8500, 67608, 0, 0
8600, 67957, 0, 0
8700, 68254, 0, 0
8800, 68166, 0, 0
8900, 68096, 0, 0
9000, 68275, 0, 0
9100, 68252, 0, 0
9200, 68310, 0, 0
9300, 68306, 0, 0
9400, 70416, 0, 0
9500, 68354, 0, 0
9600, 68003, 0, 0
9700, 68463, 0, 0
9800, 67914, 0, 0
9900, 68311, 0, 0
10000, 68062, 0, 0
