142, 19035, 0, 0
200, 11420, 0, 0
300, 19620, 0, 0
400, 19670, 0, 0
500, 19590, 0, 0
600, 19100, 0, 0
700, 19640, 0, 0
800, 19660, 0, 0
900, 19720, 0, 0
1000, 19680, 0, 0
1100, 18820, 0, 0
1200, 19410, 0, 0
1300, 19620, 0, 0
1400, 19630, 0, 0
1500, 19670, 0, 0
1600, 19580, 0, 0
1700, 19560, 0, 0
1800, 19600, 0, 0
1900, 19660, 0, 0
2000, 19610, 0, 0
2100, 19710, 0, 0
2200, 19620, 0, 0
2300, 19680, 0, 0
2400, 19640, 0, 0
2500, 19610, 0, 0
2601, 19455, 0, 0
2700, 19510, 0, 0
2800, 19530, 0, 0
2900, 19650, 0, 0
3000, 19610, 0, 0
3100, 19630, 0, 0
3200, 19640, 0, 0
3300, 19670, 0, 0
3400, 19610, 0, 0
3500, 19680, 0, 0
3600, 19700, 0, 0
3700, 19630, 0, 0
3800, 19700, 0, 0
3900, 19550, 0, 0
4001, 19396, 0, 0
4100, 19420, 0, 0
4200, 19590, 0, 0
4300, 19600, 0, 0
4400, 19630, 0, 0
4500, 19280, 0, 0
4600, 19820, 0, 0
4700, 19830, 0, 0
4800, 19750, 0, 0
4900, 19600, 0, 0
5000, 19700, 0, 0
5100, 19550, 0, 0
5200, 19620, 0, 0
5300, 19590, 0, 0
5400, 18110, 0, 0
5500, 19670, 0, 0
5600, 18240, 0, 0
5700, 19830, 0, 0
5800, 19740, 0, 0
5900, 19720, 0, 0
6000, 19590, 0, 0
6100, 19690, 0, 0
6200, 19720, 0, 0
6300, 19630, 0, 0
6400, 19660, 0, 0
6500, 19640, 0, 0
6600, 19620, 0, 0
6700, 19700, 0, 0
6800, 19630, 0, 0
6900, 19420, 0, 0
7000, 19630, 0, 0
7100, 19640, 0, 0
7200, 19680, 0, 0
7300, 19610, 0, 0
7400, 19390, 0, 0
7500, 19680, 0, 0
7600, 19560, 0, 0
7700, 19690, 0, 0
7800, 19640, 0, 0
7900, 19590, 0, 0
8000, 19670, 0, 0
8100, 19620, 0, 0
8200, 19630, 0, 0
8301, 19485, 0, 0
8400, 19150, 0, 0
8500, 19660, 0, 0
8600, 19640, 0, 0
8700, 19730, 0, 0
8800, 19690, 0, 0
8900, 19600, 0, 0
9000, 19600, 0, 0
9100, 19580, 0, 0
9200, 19690, 0, 0
9300, 19640, 0, 0
9400, 19700, 0, 0
9500, 17870, 0, 0
9600, 19420, 0, 0
9701, 19643, 0, 0
9800, 19640, 0, 0
9900, 19770, 0, 0
