100, 103822, 0, 0
200, 99552, 0, 0
300, 99407, 0, 0
400, 99269, 0, 0
500, 99582, 0, 0
600, 100519, 0, 0
700, 99453, 0, 0
800, 99266, 0, 0
900, 98992, 0, 0
1000, 99117, 0, 0
1100, 103760, 0, 0
1200, 99405, 0, 0
1300, 99414, 0, 0
1400, 99477, 0, 0
1500, 99193, 0, 0
1600, 99616, 0, 0
1700, 99669, 0, 0
1800, 99517, 0, 0
1900, 99320, 0, 0
2000, 99483, 0, 0
2100, 98968, 0, 0
2200, 99471, 0, 0
2300, 98960, 0, 0
2400, 99438, 0, 0
2500, 99489, 0, 0
2600, 99323, 0, 0
2700, 99032, 0, 0
2800, 99774, 0, 0
2900, 99313, 0, 0
3000, 99466, 0, 0
3100, 99430, 0, 0
3200, 99394, 0, 0
3300, 99198, 0, 0
3400, 99359, 0, 0
3500, 99124, 0, 0
3600, 99059, 0, 0
3700, 99436, 0, 0
3800, 99072, 0, 0
3900, 99837, 0, 0
4000, 99433, 0, 0
4100, 99514, 0, 0
4200, 99655, 0, 0
4300, 99542, 0, 0
4400, 99465, 0, 0
4500, 101031, 0, 0
4600, 98414, 0, 0
4700, 98465, 0, 0
4800, 98764, 0, 0
4900, 99618, 0, 0
5000, 99039, 0, 0
5100, 99657, 0, 0
5200, 99406, 0, 0
5300, 99612, 0, 0
5400, 106834, 0, 0
5500, 99133, 0, 0
5600, 106982, 0, 0
5700, 98424, 0, 0
5800, 98817, 0, 0
5900, 98978, 0, 0
6000, 99587, 0, 0
6100, 99068, 0, 0
6200, 98815, 0, 0
6300, 99380, 0, 0
6400, 99292, 0, 0
6500, 99270, 0, 0
6600, 99489, 0, 0
6700, 99054, 0, 0
6800, 99272, 0, 0
6900, 99441, 0, 0
7000, 99391, 0, 0
7100, 99298, 0, 0
7200, 99161, 0, 0
7300, 99317, 0, 0
7400, 100674, 0, 0
7500, 99091, 0, 0
7600, 99732, 0, 0
7700, 99156, 0, 0
7800, 99351, 0, 0
7900, 99456, 0, 0
8000, 99212, 0, 0
8100, 99448, 0, 0
8200, 99412, 0, 0
8300, 99143, 0, 0
8400, 100799, 0, 0
8500, 99217, 0, 0
8600, 99345, 0, 0
8700, 98881, 0, 0
8800, 99085, 0, 0
8900, 99653, 0, 0
9000, 99359, 0, 0
9100, 99628, 0, 0
9200, 99126, 0, 0
9300, 99377, 0, 0
9400, 99037, 0, 0
9500, 108742, 0, 0
9600, 100720, 0, 0
9700, 98376, 0, 0
9800, 98358, 0, 0
9900, 98714, 0, 0
10000, 98333, 0, 0
10000, 93495, 0, 0
